ID,material_ID,date,quantity,unit,isHoliday,isWeekend,isPayday,dayOfWeek,month,weekOfYear,year
aabdfc2f-862f-4408-930b-3d9c7ec8fb3f,MAT-001,2023-01-01,2.89,KG,1,1,1,6,1,52,2023
61b47234-26ab-4ccf-836c-471dbcf2b1b2,MAT-002,2023-01-01,0.99,L,1,1,1,6,1,52,2023
662276a6-467a-47f4-9cdf-7410e74f7a22,MAT-003,2023-01-01,4.64,UN,1,1,1,6,1,52,2023
af4ce598-a99a-4f6f-bf71-81c80ebcb8f6,MAT-004,2023-01-01,0.65,KG,1,1,1,6,1,52,2023
d2b5ee0e-3a5c-4023-9100-462b4b01c71b,MAT-005,2023-01-01,1.78,M,1,1,1,6,1,52,2023
40bfe1ed-f55c-41bc-a5de-7aa6f2d350cd,MAT-001,2023-01-02,208.48,KG,0,0,0,0,1,1,2023
3ff12402-0782-4d1c-b938-926546666117,MAT-002,2023-01-02,87.53,L,0,0,0,0,1,1,2023
438732ce-65db-4fd3-8b00-1013a087c4ae,MAT-003,2023-01-02,315.3,UN,0,0,0,0,1,1,2023
4d0df549-a45e-4354-a70f-fb2af686aa4d,MAT-004,2023-01-02,49.06,KG,0,0,0,0,1,1,2023
890edc28-8200-46b7-89d7-8444e0ca730a,MAT-005,2023-01-02,106.46,M,0,0,0,0,1,1,2023
68efacbf-71b7-4218-a966-2db9eab552fa,MAT-001,2023-01-03,186.49,KG,0,0,0,1,1,1,2023
604e99c8-a0cd-4a46-a1a6-eabea4008d91,MAT-002,2023-01-03,80.1,L,0,0,0,1,1,1,2023
557048d0-cff1-4972-91a0-ef068aca5309,MAT-003,2023-01-03,310.23,UN,0,0,0,1,1,1,2023
1c95c93a-6c8b-4f5a-8d18-e79bd2ff350c,MAT-004,2023-01-03,46.39,KG,0,0,0,1,1,1,2023
5603dfc4-dd4c-46bf-b7c9-d984c495ad91,MAT-005,2023-01-03,124.32,M,0,0,0,1,1,1,2023
454463fc-be5a-4826-a95e-b7b408c1e6eb,MAT-001,2023-01-04,202.16,KG,0,0,0,2,1,1,2023
9928fc44-cdce-4b54-a104-dc2abcc3a468,MAT-002,2023-01-04,74.63,L,0,0,0,2,1,1,2023
bdbc9ce4-ad43-4a12-95f7-012f96d9f77b,MAT-003,2023-01-04,357.5,UN,0,0,0,2,1,1,2023
3cecfae5-0336-4b7b-8b30-770bf3df1c78,MAT-004,2023-01-04,53.71,KG,0,0,0,2,1,1,2023
21fa7584-0af7-46b3-9b62-7100308ec8d7,MAT-005,2023-01-04,105.79,M,0,0,0,2,1,1,2023
1682baa7-e190-46e9-9fa3-e62134a512df,MAT-001,2023-01-05,214.68,KG,0,0,0,3,1,1,2023
b94085ce-9a52-4168-aaa0-9ba683252c84,MAT-002,2023-01-05,83.8,L,0,0,0,3,1,1,2023
992bd676-c03c-4337-87e2-6493dec12097,MAT-003,2023-01-05,336.58,UN,0,0,0,3,1,1,2023
eb3fa46c-aac8-4569-b60d-3e3b284f5df9,MAT-004,2023-01-05,45.87,KG,0,0,0,3,1,1,2023
e1271878-b6ac-44fd-ac96-e6eaaac163d3,MAT-005,2023-01-05,133.17,M,0,0,0,3,1,1,2023
dc9b302a-8f41-4e34-beeb-15c55197f2a4,MAT-001,2023-01-06,192.16,KG,0,0,0,4,1,1,2023
75baa317-06c2-4787-98b6-008e02e3ad40,MAT-002,2023-01-06,72.18,L,0,0,0,4,1,1,2023
5577e7ee-ce14-4b64-80d1-457d4f4c49d7,MAT-003,2023-01-06,316.12,UN,0,0,0,4,1,1,2023
dfc39f5a-1b8c-49c6-ad12-cf54b944c55f,MAT-004,2023-01-06,54.17,KG,0,0,0,4,1,1,2023
d8b1de0e-01b0-4a5a-98a2-11fbe6a75c64,MAT-005,2023-01-06,122.99,M,0,0,0,4,1,1,2023
311f70a0-3a72-49c3-884e-f340aef5cdff,MAT-001,2023-01-07,42.95,KG,0,1,0,5,1,1,2023
0cb4573e-0627-4987-ba9d-cfd220360bb9,MAT-002,2023-01-07,16.88,L,0,1,0,5,1,1,2023
7481afa4-d353-4286-957e-25acd21e1090,MAT-003,2023-01-07,70.61,UN,0,1,0,5,1,1,2023
e20d9ec6-6b1e-4b24-873a-22a87932091e,MAT-004,2023-01-07,11.14,KG,0,1,0,5,1,1,2023
5d8a3455-9093-47c4-ad50-545318d9518d,MAT-005,2023-01-07,23.3,M,0,1,0,5,1,1,2023
ecb6eed1-43c2-4bf7-96aa-429627350dee,MAT-001,2023-01-08,40.5,KG,0,1,0,6,1,1,2023
500bdf34-9a75-4b27-83a4-7e346602656d,MAT-002,2023-01-08,17.26,L,0,1,0,6,1,1,2023
80109eb1-9dd6-4d89-a64a-af9dd7f83268,MAT-003,2023-01-08,71.99,UN,0,1,0,6,1,1,2023
a1b2727f-6044-4666-b99e-50172cca4fc5,MAT-004,2023-01-08,10.87,KG,0,1,0,6,1,1,2023
28336576-5f56-463d-8db2-c347e46bb9e2,MAT-005,2023-01-08,24.45,M,0,1,0,6,1,1,2023
250ff647-2639-4138-80d8-8a23a09cbc15,MAT-001,2023-01-09,209.82,KG,0,0,0,0,1,2,2023
fd854ce2-393f-43c5-b9c4-b8804ea2f0a7,MAT-002,2023-01-09,71.28,L,0,0,0,0,1,2,2023
c5635df0-5bf9-4b97-9d4c-b3576c37092d,MAT-003,2023-01-09,327.14,UN,0,0,0,0,1,2,2023
0130e290-d67e-40da-a2d2-cd87a7634c55,MAT-004,2023-01-09,47.47,KG,0,0,0,0,1,2,2023
